ubigeo_departamento,departamento,ubigeo_provincia,provincia,ubigeo_distrito,distrito,total_asistentes,pct_total_asistentes,total_ausentes,pct_total_ausentes,electores_habiles,date_upd,hour_upd,pct_avance
020000,ANCASH,020300,BOLOGNESI,020302,ABELARDO PARDO LEZAMETA,115,50.218,114,49.782,229,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020321,ANTONIO RAYMONDI,575,53.29,504,46.71,1079,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020304,AQUIA,1162,67.441,561,32.559,1723,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020305,CAJACAY,972,68.115,455,31.885,1427,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020322,CANIS,124,41.751,173,58.249,297,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020301,CHIQUIAN,1796,58.029,1299,41.971,3095,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020323,COLQUIOC,1116,68.132,522,31.868,1638,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020325,HUALLANCA,3070,66.307,1560,33.693,4630,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020311,HUASTA,750,55.845,593,44.155,1343,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020310,HUAYLLACAYAN,642,64.008,361,35.992,1003,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020324,LA PRIMAVERA,132,45.205,160,54.795,292,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020313,MANGAS,204,47.775,223,52.225,427,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020315,PACLLON,576,64.214,321,35.786,897,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020317,SAN MIGUEL DE CORPANQUI,127,56.195,99,43.805,226,2021-04-19,11:49,97.708
020000,ANCASH,020300,BOLOGNESI,020320,TICLLOS,282,59.619,191,40.381,473,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020402,ACOPAMPA,1544,76.778,467,23.222,2011,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020403,AMASHCA,1196,76.033,377,23.967,1573,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020404,ANTA,1512,72.172,583,27.828,2095,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020405,ATAQUERO,1080,70.542,451,29.458,1531,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020401,CARHUAZ,8984,75.142,2972,24.858,11956,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020406,MARCARA,6247,78.886,1672,21.114,7919,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020407,PARIAHUANCA,939,75.12,311,24.88,1250,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020408,SAN MIGUEL DE ACO,1650,78.571,450,21.429,2100,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020409,SHILLA,2226,70.31,940,29.69,3166,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020410,TINCO,1831,73.181,671,26.819,2502,2021-04-19,11:49,97.708
020000,ANCASH,020400,CARHUAZ,020411,YUNGAR,1911,74.387,658,25.613,2569,2021-04-19,11:49,97.708
020000,ANCASH,021700,CARLOS FERMIN FITZCARRALD,021701,SAN LUIS,4973,65.789,2586,34.211,7559,2021-04-19,11:49,97.708
020000,ANCASH,021700,CARLOS FERMIN FITZCARRALD,021703,SAN NICOLAS,1638,62.14,998,37.86,2636,2021-04-19,11:49,97.708
020000,ANCASH,021700,CARLOS FERMIN FITZCARRALD,021702,YAUYA,2198,62.532,1317,37.468,3515,2021-04-19,11:49,97.708
020000,ANCASH,020500,CASMA,020502,BUENA VISTA ALTA,2498,68.702,1138,31.298,3636,2021-04-19,11:49,97.708
020000,ANCASH,020500,CASMA,020501,CASMA,18021,70.233,7638,29.767,25659,2021-04-19,11:49,97.708
020000,ANCASH,020500,CASMA,020503,COMANDANTE NOEL,1510,75.994,477,24.006,1987,2021-04-19,11:49,97.708
020000,ANCASH,020500,CASMA,020505,YAUTAN,4176,67.759,1987,32.241,6163,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020602,ACO,205,60.117,136,39.883,341,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020603,BAMBAS,229,59.635,155,40.365,384,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020601,CORONGO,745,63.839,422,36.161,1167,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020604,CUSCA,1284,62.91,757,37.09,2041,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020605,LA PAMPA,410,48.868,429,51.132,839,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020606,YANAC,346,56.908,262,43.092,608,2021-04-19,11:49,97.708
020000,ANCASH,020600,CORONGO,020607,YUPAN,217,70.455,91,29.545,308,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020816,ANRA,895,46.834,1016,53.166,1911,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020802,CAJAY,2219,71.259,895,28.741,3114,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020803,CHAVIN DE HUANTAR,4091,65.529,2152,34.471,6243,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020804,HUACACHI,1169,57.643,859,42.357,2028,2021-04-19,11:49,97.708
020000,ANCASH,020800,HUARI,020806,HUACCHIS,839,53.405,732,46.595,1571,2021-04-19,11:49,97.708
