ubigeo,departamento,provincia,distrito,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,date_upd,hour_upd,pct_avance
190307,PASCO,OXAPAMPA,VILLA RICA,6245,3508,56.173,87.5,100,24,0,21,0,0,2021-04-16,17:51,95.5667
190308,PASCO,OXAPAMPA,CONSTITUCION,3249,1365,42.013,84.615,100,13,0,11,0,0,2021-04-16,17:51,95.5667
200101,PIURA,PIURA,PIURA,105095,87128,82.904,98.876,100,356,0,352,0,0,2021-04-16,17:51,95.5667
200104,PIURA,PIURA,CASTILLA,7890,6484,82.18,96.429,100,28,0,27,0,0,2021-04-16,17:51,95.5667
200105,PIURA,PIURA,CATACAOS,6108,5310,86.935,100,100,22,0,22,0,0,2021-04-16,17:51,95.5667
200107,PIURA,PIURA,CURA MORI,2737,2360,86.226,100,100,10,0,10,0,0,2021-04-16,17:51,95.5667
200108,PIURA,PIURA,EL TALLAN,4274,3551,83.084,100,100,15,0,15,0,0,2021-04-16,17:51,95.5667
200109,PIURA,PIURA,LA ARENA,4092,3502,85.582,100,100,14,0,14,0,0,2021-04-16,17:51,95.5667
200110,PIURA,PIURA,LA UNION,5163,4216,81.658,100,100,19,0,19,0,0,2021-04-16,17:51,95.5667
200111,PIURA,PIURA,LAS LOMAS,1096,828,75.547,100,100,4,0,4,0,0,2021-04-16,17:51,95.5667
200114,PIURA,PIURA,TAMBO GRANDE,6167,5163,83.72,100,100,22,0,22,0,0,2021-04-16,17:51,95.5667
200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,3750,2806,74.827,93.333,100,15,0,14,0,0,2021-04-16,17:51,95.5667
200201,PIURA,AYABACA,AYABACA,24585,21099,85.821,100,100,82,0,82,0,0,2021-04-16,17:51,95.5667
200202,PIURA,AYABACA,FRIAS,3367,2806,83.338,100,100,12,0,12,0,0,2021-04-16,17:51,95.5667
200203,PIURA,AYABACA,JILILI,6510,5340,82.028,100,100,22,0,22,0,0,2021-04-16,17:51,95.5667
200204,PIURA,AYABACA,LAGUNAS,12353,10068,81.502,100,100,42,0,42,0,0,2021-04-16,17:51,95.5667
200205,PIURA,AYABACA,MONTERO,3858,3307,85.718,100,100,13,0,13,0,0,2021-04-16,17:51,95.5667
200206,PIURA,AYABACA,PACAIPAMPA,6194,5136,82.919,100,100,21,0,21,0,0,2021-04-16,17:51,95.5667
200207,PIURA,AYABACA,PAIMAS,3588,2946,82.107,100,100,12,0,12,0,0,2021-04-16,17:51,95.5667
200208,PIURA,AYABACA,SAPILLICA,5653,4677,82.735,100,100,20,0,20,0,0,2021-04-16,17:51,95.5667
200210,PIURA,AYABACA,SUYO,2819,2384,84.569,100,100,10,0,10,0,0,2021-04-16,17:51,95.5667
200301,PIURA,HUANCABAMBA,HUANCABAMBA,9240,7496,81.126,100,100,31,0,31,0,0,2021-04-16,17:51,95.5667
200302,PIURA,HUANCABAMBA,CANCHAQUE,1860,1559,83.817,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
200303,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,4530,3393,74.901,100,100,16,0,16,0,0,2021-04-16,17:51,95.5667
200304,PIURA,HUANCABAMBA,HUARMACA,4690,3536,75.394,100,100,16,0,16,0,0,2021-04-16,17:51,95.5667
200305,PIURA,HUANCABAMBA,LALAQUIZ,3115,2420,77.689,100,100,12,0,12,0,0,2021-04-16,17:51,95.5667
200306,PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,6021,5169,85.85,100,100,21,0,21,0,0,2021-04-16,17:51,95.5667
