ubigeo,departamento,provincia,distrito,cod_partido,partido,total_votos,nlista,pct_validos,pct_emitidos,candidato,date_upd,hour_upd,pct_avance
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000012,PARTIDO NACIONALISTA PERUANO,9,2,2.153,1.404,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",13,3,3.11,2.028,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000011,PARTIDO MORADO,6,4,1.435,0.936,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000017,PERU PATRIA SEGURA,0,5,0,0,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000022,VICTORIA NACIONAL,27,6,6.459,4.212,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000001,ACCION POPULAR,54,7,12.919,8.424,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,8,0.239,0.156,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000018,PODEMOS PERU,2,9,0.478,0.312,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000008,JUNTOS POR EL PERU,56,10,13.397,8.736,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000015,PARTIDO POPULAR CRISTIANO - PPC,1,11,0.239,0.156,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000007,FUERZA POPULAR,125,12,29.904,19.501,KEIKO SOFIA FUJIMORI HIGUCHI,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000021,UNION POR EL PERU,3,14,0.718,0.468,JOSE ALEJANDRO VEGA ANTONIO,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000020,RENOVACION POPULAR,13,15,3.11,2.028,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000019,RENACIMIENTO UNIDO NACIONAL,4,16,0.957,0.624,CIRO ALFREDO GALVEZ HERRERA,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000010,PARTIDO DEMOCRATICO SOMOS PERU,6,17,1.435,0.936,DANIEL ENRIQUE SALAVERRY VILLA,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,60,18,14.354,9.36,JOSE PEDRO CASTILLO TERRONES,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000004,DEMOCRACIA DIRECTA,3,19,0.718,0.468,ANDRES AVELINO ALCANTARA PAREDES,2021-04-13,11:46,91.0842
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,00000002,ALIANZA PARA EL PROGRESO,35,20,8.373,5.46,CESAR ACUÑA PERALTA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000012,PARTIDO NACIONALISTA PERUANO,11,2,4.867,3.806,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,3,0.442,0.346,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000011,PARTIDO MORADO,8,4,3.54,2.768,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010107,AMAZONAS,CHACHAPOYAS,GRANADA,00000017,PERU PATRIA SEGURA,0,5,0,0,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
